Кредит (актив);Вклад (пассив);Дата погашения;Срок погашения, дней;Ставка, %;[ОТВЕТ] Номер группы;
0;10200000;;<30;1.693400;;
0;50200000;;<30;1.694700;;
0;14300000;;<30;1.704600;;
21500000;0;;<30;1.739200;;
12000000;0;;<30;1.731300;;
5000000;0;;<30;1.731300;;
0;10000000;;<30;1.739200;;
0;20700000;;<30;1.744700;;
20700000;0;;<30;1.744700;;
0;300000000;;<30;1.744700;;
0;92300000;;<30;1.550600;;
0;191700000;;<30;1.550600;;
0;5000000;;<30;1.693400;;
0;5000000;;<30;1.703800;;
0;5000000;;<30;1.703800;;
50300000;0;;<30;0.872000;;
0;22100000;;<30;1.694700;;
5500000;0;;<30;1.694300;;
0;28000000;;<30;1.703800;;
103500000;0;;<30;1.703900;;
0;51660000;;<30;1.734100;;
55300000;0;;<30;1.693400;;
5500000;0;;<30;1.694700;;
12800000;0;;<30;1.694300;;
87200000;0;;<30;1.694300;;
24800000;0;;<30;1.703800;;
16400000;0;;<30;1.721500;;
205000000;0;;<30;1.721500;;
10900000;0;;<30;1.657900;;
0;20600000;;<30;1.657900;;
64000000;0;;<30;1.674600;;
20600000;0;;<30;1.693400;;
0;25500000;;<30;1.721500;;
0;16400000;;<30;1.721500;;
0;3800000;;<30;1.744700;;
0;252425.76;;<30;0.500000;;
0;58151.24;;<30;3;;
0;63521.45;;<30;3;;
0;93556.94;;<30;3;;
0;156922.04;;<30;3;;
0;252438.39;;<30;3;;
0;1146067.34;;<30;3;;
0;6969059.68;;<30;3;;
0;775973.50;;<30;0.750000;;
0;225209.38;;<30;0.750000;;
10400000;0;;<30;1.693400;;
10400000;0;;<30;1.693400;;
10400000;0;;<30;1.694300;;
10400000;0;;<30;1.694300;;
54900000;0;;<30;1.694300;;
27500000;0;;<30;1.695900;;
0;20900000;;<30;1.695900;;
109900000;0;;<30;1.695900;;
0;27500000;;<30;1.695900;;
12500000;0;;<30;1.695900;;
0;20900000;;<30;1.703800;;
20900000;0;;<30;1.703800;;
0;20900000;;<30;1.708000;;
20900000;0;;<30;1.708000;;
0;20900000;;<30;1.704600;;
0;10400000;;<30;1.657900;;
0;15200000;;<30;1.657900;;
0;110200000;;<30;1.657900;;
208800000;0;;<30;1.657900;;
16000000;0;;<30;1.674600;;
0;10000000;;<30;1.674600;;
0;55000000;;<30;1.674600;;
0;20900000;;<30;1.674600;;
0;200000000;;<30;1.674600;;
10400000;0;;<30;1.674600;;
0;31300000;;<30;1.693400;;
20900000;0;;<30;1.693400;;
20900000;0;;<30;1.693400;;
0;18800000;;<30;1.693400;;
0;10000000;;<30;1.694300;;
0;31300000;;<30;1.696900;;
0;10600000;;<30;1.696900;;
0;20000000;;<30;1.695900;;
0;10000000;;<30;1.695900;;
0;16700000;;<30;1.695900;;
0;10400000;;<30;1.695900;;
50000000;0;;<30;1.695900;;
45600000;0;;<30;1.703800;;
0;20800000;;<30;1.703800;;
0;101500000;;<30;1.708000;;
0;20800000;;<30;1.704600;;
10000000;0;;<30;1.704600;;
10400000;0;;<30;1.704600;;
16700000;0;;<30;1.704600;;
0;20900000;;<30;1.709100;;
0;10400000;;<30;1.709100;;
50000000;0;;<30;1.709100;;
0;10400000;;<30;1.721500;;
0;10400000;;<30;1.721500;;
10400000;0;;<30;1.721500;;
0;14000000;;<30;1.694700;;
92300000;0;;<30;1.550600;;
0;332739569.80;;<30;1.685800;;
0;129660547.80;;<30;1.685800;;
0;21000000;;<30;1.703800;;
0;30400000;;<30;1.721500;;
7300000;0;;<30;1.721500;;
5800000;0;;<30;1.721500;;
8100000;0;;<30;1.721500;;
0;20400000;;<30;1.657900;;
0;30600000;;<30;1.674600;;
0;12200000;;<30;1.674600;;
14300000;0;;<30;1.695900;;
10200000;0;;<30;1.703800;;
0;12700000;;<30;1.704600;;
10200000;0;;<30;1.704600;;
4400000;0;;<30;1.674600;;
0;37000000;;<30;1.674600;;
0;67200000;;<30;1.674600;;
140000000;0;;<30;1.674600;;
0;50000000;;<30;1.685800;;
0;40000000;;<30;1.685800;;
10400000;0;;<30;1.693400;;
20000000;0;;<30;1.693400;;
0;552000000;;<30;1.693400;;
0;1196000000;;<30;1.693400;;
0;10400000;;<30;1.674600;;
45900000;0;;<30;1.674600;;
0;16700000;;<30;1.674600;;
0;45900000;;<30;1.674600;;
0;10400000;;<30;1.674600;;
8800000;0;;<30;1.674600;;
21000000;0;;<30;1.674600;;
12500000;0;;<30;1.674600;;
10000000;0;;<30;1.685800;;
0;21000000;;<30;1.685800;;
0;10400000;;<30;1.693400;;
0;18800000;;<30;1.693400;;
0;18800000;;<30;1.693400;;
20900000;0;;<30;1.694300;;
16700000;0;;<30;1.696900;;
0;16700000;;<30;1.696900;;
0;10600000;;<30;1.696900;;
0;14600000;;<30;1.695900;;
0;16700000;;<30;1.695900;;
0;20900000;;<30;1.695900;;
8800000;0;;<30;1.703800;;
50000000;0;;<30;1.703800;;
16700000;0;;<30;1.703800;;
